tensor_name,file_offset,size_bytes,layer_id,component_type,n_dims,dim0,dim1,dim2,dim3
blk.12.ffn_up.weight,211955712,46137344,12,FFN Up,2,2048,5632,0,0
blk.12.ffn_norm.weight,218443776,8192,12,FFN Norm,1,2048,0,0,0
blk.12.attn_k.weight,218451968,2097152,12,Attention K,2,2048,256,0,0
blk.12.attn_output.weight,218746880,16777216,12,Output Projection,2,2048,2048,0,0
blk.12.attn_q.weight,221106176,16777216,12,Attention Q,2,2048,2048,0,0
blk.12.attn_v.weight,223465472,2097152,12,Attention V,2,2048,256,0,0
blk.13.attn_norm.weight,223895552,8192,13,Attention Norm,1,2048,0,0,0
blk.13.ffn_down.weight,223903744,46137344,13,FFN Down,2,5632,2048,0,0
blk.13.ffn_gate.weight,230391808,46137344,13,FFN Gate,2,2048,5632,0,0
blk.13.ffn_up.weight,236879872,46137344,13,FFN Up,2,2048,5632,0,0
blk.13.ffn_norm.weight,243367936,8192,13,FFN Norm,1,2048,0,0,0
blk.13.attn_k.weight,243376128,2097152,13,Attention K,2,2048,256,0,0
blk.13.attn_output.weight,243671040,16777216,13,Output Projection,2,2048,2048,0,0
blk.13.attn_q.weight,246030336,16777216,13,Attention Q,2,2048,2048,0,0
blk.13.attn_v.weight,248389632,2097152,13,Attention V,2,2048,256,0,0
blk.14.attn_norm.weight,248684544,8192,14,Attention Norm,1,2048,0,0,0
blk.14.ffn_down.weight,248692736,46137344,14,FFN Down,2,5632,2048,0,0
blk.14.ffn_gate.weight,255180800,46137344,14,FFN Gate,2,2048,5632,0,0
blk.14.ffn_up.weight,261668864,46137344,14,FFN Up,2,2048,5632,0,0
blk.14.ffn_norm.weight,268156928,8192,14,FFN Norm,1,2048,0,0,0
blk.14.attn_k.weight,268165120,2097152,14,Attention K,2,2048,256,0,0
blk.14.attn_output.weight,268460032,16777216,14,Output Projection,2,2048,2048,0,0
blk.14.attn_q.weight,270819328,16777216,14,Attention Q,2,2048,2048,0,0
blk.14.attn_v.weight,273178624,2097152,14,Attention V,2,2048,256,0,0
blk.15.attn_norm.weight,273473536,8192,15,Attention Norm,1,2048,0,0,0
blk.15.ffn_down.weight,273481728,46137344,15,FFN Down,2,5632,2048,0,0
